16310,19563,19588,61610,97237,,,,,,,,,,,,,,,,,
7131,42138,51598,,,,,,,,,,,,,,,,,,,
43248,,,,,,,,,,,,,,,,,,,,,
19243,,,,,,,,,,,,,,,,,,,,,
6631,9437,,,,,,,,,,,,,,,,,,,,
6526,19240,42450,,,,,,,,,,,,,,,,,,,
6782,6783,55114,,,,,,,,,,,,,,,,,,,
50,19547,90368,,,,,,,,,,,,,,,,,,,
77,722,723,724,6289,6348,31573,33314,44778,,,,,,,,,,,,,
82,86,472,480,6511,16567,30435,31146,51301,51321,,,,,,,,,,,,
184,6378,72423,98789,,,,,,,,,,,,,,,,,,
6886,6895,6904,7032,7033,16574,32889,35542,36205,42144,45324,99022,,,,,,,,,,
6511,42176,43161,43248,50790,,,,,,,,,,,,,,,,,
10498,10499,43161,43248,,,,,,,,,,,,,,,,,,
10498,10499,43161,80129,,,,,,,,,,,,,,,,,,
10498,10499,10950,43161,,,,,,,,,,,,,,,,,,
10498,10499,43161,80129,,,,,,,,,,,,,,,,,,
10498,10499,43161,,,,,,,,,,,,,,,,,,,
10498,10499,43161,,,,,,,,,,,,,,,,,,,
6511,7163,,,,,,,,,,,,,,,,,,,,
6635,15910,15916,42758,42760,1902001,,,,,,,,,,,,,,,,
2,32543,32790,51881,,,,,,,,,,,,,,,,,,
1676,35336,44539,1905329,,,,,,,,,,,,,,,,,,
6730,9086,35999,55114,,,,,,,,,,,,,,,,,,
6508,7039,,,,,,,,,,,,,,,,,,,,
82,86,6511,16567,31146,43161,51301,,,,,,,,,,,,,,,
6897,15031,36092,46855,46856,,,,,,,,,,,,,,,,,
753,30036,32185,97271,,,,,,,,,,,,,,,,,,
6285,6307,,,,,,,,,,,,,,,,,,,,
6527,6591,10121,19544,55129,,,,,,,,,,,,,,,,,
734,1302,6260,6286,6303,35753,43137,70914,90305,,,,,,,,,,,,,
32979,34551,51131,71806,,,,,,,,,,,,,,,,,,
86,6468,18105,35556,44257,44879,46777,51726,1902935,,,,,,,,,,,,,
8361,61157,,,,,,,,,,,,,,,,,,,,
7096,23056,31536,31578,40001,51301,1902542,1904750,,,,,,,,,,,,,,
6334,6355,16584,30261,31936,45910,,,,,,,,,,,,,,,,
6357,6397,6468,6974,32786,45737,45903,45943,,,,,,,,,,,,,,
6078,30148,31505,,,,,,,,,,,,,,,,,,,
122,6357,,,,,,,,,,,,,,,,,,,,
15696,19740,72488,,,,,,,,,,,,,,,,,,,
6145,6259,9442,,,,,,,,,,,,,,,,,,,
256,6144,,,,,,,,,,,,,,,,,,,,
122,42128,45944,90295,,,,,,,,,,,,,,,,,,
256,6144,15720,15851,55085,,,,,,,,,,,,,,,,,
122,1080,10508,36278,45944,90294,,,,,,,,,,,,,,,,
2,1408,6879,55085,1903790,,,,,,,,,,,,,,,,,
30433,50790,97051,,,,,,,,,,,,,,,,,,,
6281,6506,7049,51301,,,,,,,,,,,,,,,,,,
10636,10992,16578,16579,43162,,,,,,,,,,,,,,,,,
6886,6888,6890,6904,16192,35543,46578,48280,,,,,,,,,,,,,,
6493,35269,71712,,,,,,,,,,,,,,,,,,,
6635,6696,,,,,,,,,,,,,,,,,,,,
6487,,,,,,,,,,,,,,,,,,,,,
6654,16024,46474,,,,,,,,,,,,,,,,,,,
6986,31204,34620,42026,50790,51085,,,,,,,,,,,,,,,,
6457,34976,55114,,,,,,,,,,,,,,,,,,,
6644,16311,,,,,,,,,,,,,,,,,,,,
6096,32889,,,,,,,,,,,,,,,,,,,,
6357,6364,42790,45892,45898,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,
436,6355,10723,43457,,,,,,,,,,,,,,,,,,
6696,16126,55114,,,,,,,,,,,,,,,,,,,
6888,6906,15031,48193,48209,,,,,,,,,,,,,,,,,
6487,6491,97502,,,,,,,,,,,,,,,,,,,
6013,6487,9298,45047,,,,,,,,,,,,,,,,,,
6097,6099,6108,6635,6735,,,,,,,,,,,,,,,,,
11,103,6662,6749,6888,6890,9263,15031,42144,45454,55114,80058,,,,,,,,,,
6303,6369,6972,7329,32968,43618,45945,51053,60261,70898,75297,,,,,,,,,,,
6750,42542,46686,,,,,,,,,,,,,,,,,,,
7088,8298,35269,45048,51321,,,,,,,,,,,,,,,,,
6888,6890,6891,6901,15031,32511,,,,,,,,,,,,,,,,
8150,22900,,,,,,,,,,,,,,,,,,,,
6886,6897,45807,48268,65003,72583,,,,,,,,,,,,,,,,
1,11,281,6887,7015,7118,7119,7124,8298,16192,30010,30447,51017,90527,1903475,,,,,,,
5975,6098,9052,,,,,,,,,,,,,,,,,,,
6457,7021,32968,51131,,,,,,,,,,,,,,,,,,
8150,,,,,,,,,,,,,,,,,,,,,
6612,6887,6893,6904,48309,48313,90522,,,,,,,,,,,,,,,
42759,55114,,,,,,,,,,,,,,,,,,,,
15741,15744,15867,71422,,,,,,,,,,,,,,,,,,
6123,1902600,,,,,,,,,,,,,,,,,,,,
6097,6099,,,,,,,,,,,,,,,,,,,,
6807,51603,,,,,,,,,,,,,,,,,,,,
6835,8272,15709,15729,35435,71422,71423,1902356,1902358,,,,,,,,,,,,,
245,6357,6368,8298,10508,32968,90262,2000232,2001208,2001209,,,,,,,,,,,,
34755,55072,72511,1901684,,,,,,,,,,,,,,,,,,
15867,15883,15884,35350,,,,,,,,,,,,,,,,,,
6357,6972,42493,42538,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,
2,372,963,6259,6397,,,,,,,,,,,,,,,,,
6366,51123,1903508,,,,,,,,,,,,,,,,,,,
